source,relationship,target,weight,result,cmd,runtime,status
T_0,wake_up,CPU_2,210,,,,
CPU_2,switched_in,T_7,15,,,,
T_7,runtime_stat,CPU_2,15,,,4772,
T_7,switched_out,CPU_2,15,,,,
T_5123,process_freed,CPU_0,1,,,,terminated
T_5131,switched_out,CPU_1,2,,,,
CPU_1,switched_in,T_5132,1,,,,
P_5132,contains,T_5132,1,,,,
T_5132,scheduled_to_wake_on,CPU_1,2,,,,
T_5132,wake_up,CPU_1,2,,,,
T_5132,runtime_stat,CPU_1,1,,,28265,
T_5132,switched_out,CPU_1,1,,,,
CPU_2,switched_in,T_5132,1,,,,
T_5132,close_fd,File_FD_4,4,,,,
T_5132,close_exit,T_5132,6,0,,,
T_5132,scheduled_to_wake_on,CPU_2,1,,,,
T_5132,wake_up,CPU_3,1,,,,
T_5132,close_fd,File_FD_1,1,,,,
T_5132,close_fd,File_FD_2,1,,,,
CPU_3,switched_in,T_5130,4,,,,
T_5130,runtime_stat,CPU_3,8,,,30242,
T_5130,switched_out,CPU_3,4,,,,
T_5132,runtime_stat,CPU_2,1,,,361785,
T_5132,switched_out,CPU_2,1,,,,
T_5131,close_fd,File_FD_10,1,,,,
T_5131,scheduled_to_wake_on,CPU_3,1,,,,
T_5131,wake_up,CPU_3,1,,,,
T_5130,close_fd,File_FD_6,11,,,,
T_0,scheduled_to_wake_on,CPU_2,208,,,,
T_5127,process_freed,CPU_2,1,,,,terminated
CPU_2,switched_in,T_18,2,,,,
P_18,contains,T_18,1,,,,
T_5128,process_freed,CPU_2,1,,,,terminated
T_18,runtime_stat,CPU_2,2,,,18795,
T_18,switched_out,CPU_2,2,,,,
T_5129,process_freed,CPU_3,1,,,,terminated
T_5126,process_freed,CPU_1,1,,,,terminated
CPU_2,switched_in,T_129,100,,,,
P_129,contains,T_129,1,,,,
T_129,runtime_stat,CPU_2,100,,,3974,
T_129,switched_out,CPU_2,100,,,,
T_0,wake_up,CPU_1,11,,,,
T_5132,process_freed,CPU_1,1,,,,terminated
T_5131,process_freed,CPU_3,1,,,,terminated
CPU_1,switched_in,T_4740,1,,,,
P_4740,contains,T_4740,1,,,,
T_4740,runtime_stat,CPU_1,1,,,7038,
T_4740,switched_out,CPU_1,1,,,,
T_0,scheduled_to_wake_on,CPU_1,8,,,,
T_5096,scheduled_to_wake_on,CPU_2,1,,,,
T_5096,wake_up,CPU_2,1,,,,
T_5096,scheduled_to_wake_on,CPU_3,1,,,,
T_5096,wake_up,CPU_3,1,,,,
P_2203,contains,T_2208,1,,,,
T_2208,scheduled_to_wake_on,CPU_0,1,,,,
T_2208,wake_up,CPU_0,1,,,,
T_15322,scheduled_to_wake_on,CPU_3,1,,,,
T_15322,wake_up,CPU_3,1,,,,
CPU_2,switched_in,T_2208,96,,,,
T_2208,runtime_stat,CPU_2,97,,,67304,
T_2208,switched_out,CPU_2,96,,,,
T_2208,scheduled_to_wake_on,CPU_2,1,,,,
T_2208,wake_up,CPU_3,1,,,,
CPU_3,switched_in,T_577,1,,,,
P_509,contains,T_577,1,,,,
T_577,runtime_stat,CPU_3,1,,,44173,
T_577,switched_out,CPU_3,1,,,,
CPU_1,switched_in,T_7,5,,,,
T_7,runtime_stat,CPU_1,5,,,12255,
T_7,switched_out,CPU_1,5,,,,
T_5130,wake_up,CPU_2,3,,,,
T_5130,scheduled_to_wake_on,CPU_2,2,,,,
CPU_2,switched_in,T_5133,1,,,,
P_5133,contains,T_5133,1,,,,
T_5130,close_fd,File_FD_8,3,,,,
T_5133,close_fd,File_FD_6,1,,,,
T_5133,close_exit,T_5133,8,0,,,
T_5133,close_fd,File_FD_5,3,,,,
T_5133,close_fd,File_FD_7,1,,,,
T_5133,close_fd,File_FD_8,1,,,,
T_5133,close_fd,File_FD_9,1,,,,
T_5133,close_fd,File_FD_10,1,,,,
T_5133,scheduled_to_wake_on,CPU_2,1,,,,
T_5133,wake_up,CPU_2,1,,,,
T_5133,runtime_stat,CPU_2,1,,,138049,
T_5133,switched_out,CPU_2,1,,,,
CPU_2,switched_in,T_17,4,,,,
P_17,contains,T_17,1,,,,
T_17,switched_out,CPU_2,4,,,,
CPU_3,switched_in,T_5133,2,,,,
T_5133,runtime_stat,CPU_3,3,,,555259,
T_5133,switched_out,CPU_3,2,,,,
CPU_0,switched_in,T_5134,1,,,,
P_5134,contains,T_5134,1,,,,
T_5134,scheduled_to_wake_on,CPU_0,1,,,,
T_5134,wake_up,CPU_0,1,,,,
T_5134,runtime_stat,CPU_0,1,,,50973,
T_5134,switched_out,CPU_0,1,,,,
CPU_0,switched_in,T_9,6,,,,
P_9,contains,T_9,1,,,,
T_9,switched_out,CPU_0,6,,,,
CPU_1,switched_in,T_5134,1,,,,
T_5134,close_fd,File_FD_5,32,,,,
T_5134,close_exit,T_5134,32,0,,,
T_5134,scheduled_to_wake_on,CPU_3,1,,,,
T_5134,wake_up,CPU_3,1,,,,
